comment_num,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
251,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333
252,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.516666667,0.016666667,0.016666667,0.35
253,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333
254,0.033333333,0.366666667,0.033333333,0.033333333,0.033333333,0.033333333,0.366666667,0.033333333,0.033333333,0.033333333
255,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333
256,0.025,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025
257,0.525,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
258,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05
259,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333
260,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05
261,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.1375,0.2625,0.5125,0.0125
262,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025
263,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333
